51.0266112;3.7480114;Taverne Belle Vue
51.0621726;3.6962172;Hotel Columbo
51.0394308;3.7256688;Canard Bizar
51.0419083;3.7394721;De Nieuwe Reinaert
51.0589028;3.7245131;Café Oud Patershol
51.0371376;3.7119329;Baziel
51.0338093;3.7081439;De Vrolijke Viking
51.0543311;3.7225953;dragòn
51.0198545;3.7638178;Breughelhof
51.0570503;3.7277344;Funke
51.0562625;3.7129508;Dolfijn
